City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,nadi,-17.8,177.4167,303.15,62,75,7.72,FJ,1732928984
147,sabang,5.8933,95.3214,300.43,82,100,7.25,ID,1732929024
148,nabire,-3.3667,135.4833,298.94,93,97,0.28,ID,1732929025
149,myeik,12.4333,98.6,296.53,72,11,2.72,MM,1732929026
150,port elizabeth,-33.918,25.5701,287.77,95,1,2.55,ZA,1732928994
151,khasab,26.1799,56.2477,292.74,66,6,6.73,OM,1732929028
152,port macquarie,-31.4333,152.9167,298.75,80,100,5.36,AU,1732929029
153,avarua,-21.2078,-159.775,297.18,94,75,1.54,CK,1732929030
154,constantia,44.1833,28.65,279.65,85,100,1.65,RO,1732929031
155,belokurikha,51.9959,84.9896,271.72,79,100,1.44,RU,1732929032
156,lebu,-37.6167,-73.65,285.92,90,2,6.49,CL,1732929034
157,san luis de la loma,17.2706,-100.8939,298.33,83,2,1.27,MX,1732929036
158,iskateley,67.6803,53.1512,271.07,92,100,8.26,RU,1732929037
159,kenai,60.5544,-151.2583,259.18,85,0,1.54,US,1732929038
160,inhambane,-23.865,35.3833,293.48,72,1,3.34,MZ,1732929039
161,mugia,43.1041,-9.2179,289.49,91,100,7.0,ES,1732929040
162,sao joao da barra,-21.6403,-41.0511,297.06,88,100,3.94,BR,1732929041
163,malvan,16.0667,73.4667,294.73,49,72,2.93,IN,1732929042
164,lihue,21.9789,-159.3672,298.92,75,75,6.17,US,1732929043
165,oriximina,-1.7656,-55.8661,301.99,47,16,0.79,BR,1732929044
166,yallahs,17.8748,-76.5624,299.0,87,100,4.17,JM,1732929045
167,zyryanskoye,56.8306,86.6258,264.37,96,98,3.38,RU,1732929047
168,east london,-33.0153,27.9116,289.93,81,12,3.59,ZA,1732929048
169,qaqortoq,60.7167,-46.0333,260.6,70,17,3.02,GL,1732929049
170,la punta,-33.1837,-66.3127,290.53,51,0,4.15,AR,1732929050
171,kresttsy,58.2452,32.5165,273.43,91,100,3.62,RU,1732929051
172,tabou,4.423,-7.3528,299.17,82,100,3.62,CI,1732929052
173,nar'yan-mar,67.6713,53.087,271.16,92,100,8.28,RU,1732929053
174,mar del plata,-38.0023,-57.5575,288.12,81,0,1.34,AR,1732928943
175,coquimbo,-29.9533,-71.3436,287.0,94,0,2.57,CL,1732928784
176,pemba,-12.974,40.5178,298.72,82,100,4.17,MZ,1732929057
177,jumla,29.2747,82.1838,274.9,55,0,2.81,NP,1732929058
178,kiunga,-6.1219,141.2906,301.86,75,100,1.76,PG,1732929059
179,kununurra,-15.7667,128.7333,304.14,70,75,2.06,AU,1732928956
180,york,40.1254,-77.0,273.59,60,0,3.6,US,1732928787
181,nouadhibou,20.931,-17.0347,295.14,56,13,4.63,MR,1732929062
182,dunedin,-45.8742,170.5036,285.93,57,7,3.01,NZ,1732929063
183,mahina,-17.5065,-149.489,303.02,70,40,6.17,PF,1732929064
184,sajir,25.1825,44.5996,288.58,38,98,4.38,SA,1732929065
185,xilin hot,43.9667,116.0333,268.43,89,1,2.94,CN,1732929066
186,hawaiian paradise park,19.5933,-154.9731,298.08,74,100,3.09,US,1732929067
187,las tablas,7.7667,-80.2833,298.25,99,100,1.46,PA,1732929070
188,dubbo,-32.25,148.6167,294.22,94,100,7.72,AU,1732929071
189,ciudad lazaro cardenas,17.9583,-102.2,298.65,83,0,2.16,MX,1732929072
190,kinel',53.2333,50.65,272.22,80,100,3.22,RU,1732929073
